Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;34;;2;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;143;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;478;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;480;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;481;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;599;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;691;;1;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;729;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;788;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;815;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;821;;1;ESCOLA MUNICIPAL CONSUELO AMORA;AV. DOS JANGADEIROS, 577;MUCURIPE;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;832;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;850;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;889;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;900;;2;ESCOLA MUNICIPAL PROF BELARMINA CAMPOS;RUA MANOEL RODRIGUES MONTEIRO, 840;VICENTE PINZON;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;905;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;906;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;925;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;1;927;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;2;747;;2;CMES ANISIO TEIXEIRA;TRAVESSA DO GUARANI, 355;PAUPINA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;2;752;;1;COLÉGIO CHRISTUS SUL;AV. ENG. LEAL LIMA VERDE, 2265;JOSÉ DE ALENCAR;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;2;819;;1;ESCOLA MUNICIPAL ISABEL FERREIRA;RUA ISABEL FERREIRA, 1000 - CONJ. CURIÓ;LAGOA REDONDA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;123;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;124;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;219;220;2;FAC. ESTÁCIO - UNIDADE CENTRO (ANTIGO COLÉGIO CEARENSE);AV. DUQUE DE CAXIAS, 101;CENTRO;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;264;263, 265;2;EEMTI VISCONDE DO RIO BRANCO;AV. DOM MANUEL, 1803;CENTRO;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;300;;1;ACADEMIA DO PROFESSOR DARCY RIBEIRO;RUA DONA LEOPOLDINA, 907;CENTRO;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;303;535;2;EEMTI VISCONDE DO RIO BRANCO;AV. DOM MANUEL, 1803;CENTRO;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;384;;1;UNICHRISTUS ALDEOTA;RUA VISCONDE DE MAUÁ, 1940;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;396;;1;RECEITA FEDERAL (SUPER. DE ADM. DO MIN. DA ECON. NO CEARÁ);RUA BARÃO DE ARACATI, 909;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;407;;1;EEMTI RENATO BRAGA;AV. RUI BARBOSA, 2000;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;433;;1;EEFM PARÓQUIA DA PAZ;RUA VISCONDE DE MAUÁ, 905/A;MEIRELES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;566;;1;WIZARD DOM LUÍS;AV. DOM LUÍS, 149;MEIRELES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;573;;1;INSTITUTO CEARENSE DE EDUCAÇÃO DE SURDOS - ICES;AV. RUI BARBOSA, 1970;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;582;;1;ESCOLA DE SAÚDE PÚBLICA DO CEARÁ;AV. ANTÔNIO JUSTA, 3161;MEIRELES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;623;;1;COLÉGIO BATISTA - SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE, 1056;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;3;632;;1;COLÉGIO BATISTA - SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE, 1056;ALDEOTA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;121;;1;EEFM ESTADO DO PARÁ;RUA DJALMA PETIT 589;ALTO DA BALANÇA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;122;;1;EEFM ESTADO DO PARÁ;RUA DJALMA PETIT 589;ALTO DA BALANÇA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;125;;1;EEFM ESTADO DO PARÁ;RUA DJALMA PETIT 589;ALTO DA BALANÇA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;127;;1;EEFM ESTADO DO PARÁ;RUA DJALMA PETIT 589;ALTO DA BALANÇA;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;134;;1;EEFM JOAQUIM ANTÔNIO ALBANO;RUA JULIO SIQUEIRA 390;DIONISIO TORRES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;137;;1;EEFM JOAQUIM ANTÔNIO ALBANO;RUA JULIO SIQUEIRA 390;DIONISIO TORRES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;139;;1;EEFM JOAQUIM ANTÔNIO ALBANO;RUA JULIO SIQUEIRA 390;DIONISIO TORRES;
2024;1;FORTALEZA;70070;ANDREIA MENDONÇA;80;140;;1;EEFM JOAQUIM ANTÔNIO ALBANO;RUA JULIO SIQUEIRA 390;DIONISIO TORRES;
