Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;35;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;37;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;41;;1;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;81;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;336;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;348;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;349;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;354;;1;ESCOLA ESTADUAL DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;362;;1;EMTI VEREADOR ALBERTO GOMES DE QUEIROZ;AV. ZEZÉ DIOGO, 782;CAIS DO PORTO;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;390;;2;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;RUA JULIO SILVA, 450;PRAIA DO FUTURO II;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;462;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;463;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;479;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;546;;1;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;550;;1;EMTI VEREADOR ALBERTO GOMES DE QUEIROZ;AV. ZEZÉ DIOGO, 782;CAIS DO PORTO;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;552;;2;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;577;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;586;;1;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;RUA JULIO SILVA, 450;PRAIA DO FUTURO II;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;592;;1;ESCOLA ESTADUAL MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;632;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;642;;2;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;668;;1;ESCOLA ESTADUAL MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;671;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;704;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;754;;1;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;AVENIDA DIOGUINHO 5927;VICENTE PINZON;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;766;;1;EMTI VEREADOR ALBERTO GOMES DE QUEIROZ;AV. ZEZÉ DIOGO, 782;CAIS DO PORTO;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;794;;1;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;AVENIDA DIOGUINHO 5927;VICENTE PINZON;
2024;1;FORTALEZA;20444;DIDI MARAVILHA;1;795;;1;ESCOLA MUNICIPAL PROF BELARMINA CAMPOS;RUA MANOEL RODRIGUES MONTEIRO, 840;VICENTE PINZON;
