Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;44123;J P;1;526;;1;ESCOLA MUNICIPAL COLONIA Z-8;RUA MANOEL JESUINO,370;VARJOTA;
2024;1;FORTALEZA;44123;J P;1;721;;1;EMTI VEREADOR ALBERTO GOMES DE QUEIROZ;AV. ZEZÉ DIOGO, 782;CAIS DO PORTO;
2024;1;FORTALEZA;44123;J P;1;884;;1;COLEGIO ANTARES - OCELO PINHEIRO;RUA PROFESSOR OCELO PINHEIRO 101;PAPICU;
2024;1;FORTALEZA;44123;J P;2;89;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;44123;J P;2;123;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;44123;J P;2;401;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;44123;J P;2;710;;1;FACULDADE ATENEU DO CEARÁ;AV. COLETOR ANTONIO GADELHA, 621;MESSEJANA;
2024;1;FORTALEZA;44123;J P;2;816;;1;FACULDADE ATENEU DO CEARÁ;AV. COLETOR ANTONIO GADELHA, 621;MESSEJANA;
2024;1;FORTALEZA;44123;J P;2;820;;1;ETI MARIA ODETE DA SILVA COLARES;RUA CEL JOÃO DE OLIVEIRA, 687;MESSEJANA;
2024;1;FORTALEZA;44123;J P;3;30;;1;SESC;RUA CLARINDO DE QUEIROZ, 1740;CENTRO;
2024;1;FORTALEZA;44123;J P;3;155;;1;EM MOURA BRASIL / EF;RUA PADRE MORORÓ, 189;MOURA BRASIL;
2024;1;FORTALEZA;44123;J P;3;484;;1;COLÉGIO ANTARES (PRAIA DE IRACEMA);RUA HISTORIADOR GUARINO ALVES, 95;PRAIA DE IRACEMA;
2024;1;FORTALEZA;44123;J P;3;506;510;1;CENTRO DE PASTORAL MARIA, MÃE DA IGREJA;RUA RODRIGUES JÚNIOR, 300;CENTRO;
2024;1;FORTALEZA;44123;J P;3;614;;1;COLÉGIO ESPAÇO ABERTO - DOM LUÍS;AV. DOM LUÍS, 730;ALDEOTA;
2024;1;FORTALEZA;44123;J P;3;635;;1;NÁUTICO ATLÉTICO CEARENSE;AV. DA ABOLIÇÃO, 2727;MEIRELES;
2024;1;FORTALEZA;44123;J P;80;203;;1;UAPS CESAR CALS DE OLIVEIRA;RUA CAPITÃO ARAGÃO 555;ALTO DA BALANÇA;
2024;1;FORTALEZA;44123;J P;80;271;;1;FACULDADE MAURÍCIO DE NASSAU;AVENIDA VISCONDE DO RIO BRANCO, 2078;JOSÉ BONIFÁCIO;
2024;1;FORTALEZA;44123;J P;80;315;;1;COLÉGIO SANTO INACIO;AVENIDA DESEMBARGADOR MOREIRA 2355;DIONISIO TORRES;
2024;1;FORTALEZA;44123;J P;80;329;;1;COLÉGIO ANTARES IRMÃ MARIA (ANTIGO IRMÃ MARIA MONTENEGRO);RUA PINHO PESSOA 681;JOAQUIM TÁVORA;
2024;1;FORTALEZA;44123;J P;80;352;;1;COLÉGIO SALESIANO DOM BOSCO;AV ANTONIO SALES 116;JOAQUIM TÁVORA;
2024;1;FORTALEZA;44123;J P;80;394;;1;EEM GOV. ADAUTO BEZERRA;RUA MONSENHOR LIBERATO, 1850;FÁTIMA;
2024;1;FORTALEZA;44123;J P;82;96;;1;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR - EI/EF;RUA BERNARDO PORTO, 490;MONTE CASTELO;
2024;1;FORTALEZA;44123;J P;82;390;;1;ASSOCIACAO DE CANTADORES DO NORDESTE;RUA COELHO FONSECA, 195;ÁLVARO WEYNE;
2024;1;FORTALEZA;44123;J P;82;409;;1;CENTRO EDUCACIONAL SÃO MATEUS;AV. SARGENTO HERMÍNIO SAMPAIO, 2440;MONTE CASTELO;
2024;1;FORTALEZA;44123;J P;82;503;;1;CENTRO EDUCACIONAL DOM HÉLIO CAMPOS;RUA SÃO RAIMUNDO, 199;PIRAMBU;
2024;1;FORTALEZA;44123;J P;82;605;;1;ESCOLA MUNICIPAL HILBERTO SILVA - EI/EF;AV. PRESIDENTE CASTELO BRANCO, 2973;PIRAMBU;
2024;1;FORTALEZA;44123;J P;82;612;;1;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI;AV. DOUTOR THEBERGE, 448;CRISTO REDENTOR;
2024;1;FORTALEZA;44123;J P;82;634;;1;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI;AV. DOUTOR THEBERGE, 448;CRISTO REDENTOR;
2024;1;FORTALEZA;44123;J P;82;673;;1;ESCOLA MUNICIPAL ANTONIO MENDES - EI/EF;RUA DONA MENDINA, 682;CRISTO REDENTOR;
2024;1;FORTALEZA;44123;J P;82;687;;1;EEFM JOSÉ VALDO RIBEIRO RAMOS - EEMTI;RUA PEDRO AMÉRICO, 100;CARLITO PAMPLONA;
2024;1;FORTALEZA;44123;J P;83;92;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;157;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;44123;J P;83;165;;2;EEFM HERACLITO DE CASTRO E SILVA;RUA SILVEIRA FILHO, 808;JÓQUEI CLUBE;
2024;1;FORTALEZA;44123;J P;83;247;;1;EEFM ANISIO TEIXEIRA;RUA RIO GRANDE DO SUL 680;PANAMERICANO;
2024;1;FORTALEZA;44123;J P;83;428;;1;EEMTI ESTADO DO AMAZONAS;RUA MONSENHOR FURTADO 2327;BELA VISTA;
2024;1;FORTALEZA;44123;J P;83;472;;1;ESCOLA MUNICIPAL DOM JOSÉ TUPINAMBA DA FROTA;RUA VIRIATO RIBEIRO 1031;BELA VISTA;
2024;1;FORTALEZA;44123;J P;83;565;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;44123;J P;83;602;;1;EEM  MARIANO MARTINS;AVENIDA SENADOR FERNANDES TÁVORA 1445;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;635;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;641;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;655;794;1;EEFM JOSÉ WALDEMAR DE ALCÂNTARA E SILVA;RUA MACEIÓ, 627;DOM LUSTOSA;
2024;1;FORTALEZA;44123;J P;83;662;;1;EEMTI PROFESSOR PAULO FREIRE;AVENIDA SENADOR FERNANDES TÁVORA 1936;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;693;;1;EDUCANDARIO FELIPE DOS SANTOS;RUA TERESINA 313;HENRIQUE JORGE;
2024;1;FORTALEZA;44123;J P;83;786;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;44123;J P;83;793;;1;ESCOLA MUNICIPAL ADROALDO TEIXEIRA CASTELO;RUA ALAGOAS 2267;PICI;
2024;1;FORTALEZA;44123;J P;85;106;;1;CEJA ADELINO DE ALCANTARA FILHO - UV-6;RUA SEISCENTOS E DOZE, 100, 1A ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;116;;1;CCDH - CENTRO DE CIDADANIA E DIREITOS HUMANOS (ANTIGO LUCIO ALCANTARA);AV. ALANIS MARIA LAURINDO DE OLIVEIRA, 461, 1A ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;204;;1;ESCOLA MUNICIPAL PROF AMERICO BARREIRA;RUA RICARDO PONTES 529;GENIBAÚ;
2024;1;FORTALEZA;44123;J P;85;230;;1;EEM LICEU DO CONJUNTO CEARA;RUA 1139 A, 10 4 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;238;;1;EEFM DOUTOR GENTIL BARREIRA;RUA 202-D, S/N - CONJUNTO CEARÁ I;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;279;;1;EEFM PROF PLACIDO ADERALDO CASTELO - UV 7B;RUA SETECENTOS E VINTE E UM, 100, 3A ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;284;;1;EEFM PROF. EDMILSON GUIMARAES DE ALMEIDA UV 10;RUA 1074 S/N (PROX. HOSPITAL), 4 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;288;;1;EMEIF GERARDO MILTON DE SA;RUA VALE COSTA S/N;ANTÔNIO BEZERRA;
2024;1;FORTALEZA;44123;J P;85;309;;1;EEF JOSE MILITAO DE ALBUQUERQUE - UV-11-B;RUA MIL CENTO E QUARENTA E CINCO, 1 , 4A ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;44123;J P;85;358;;1;EEFM AYRTON SENNA DA SILVA;RUA MANAUS, 855;DOM LUSTOSA;
2024;1;FORTALEZA;44123;J P;93;101;;1;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE (JOSÉ WALTER);AV. H, 430 III ETAPA;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;44123;J P;93;102;;1;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE (JOSÉ WALTER);AV. H, 430 III ETAPA;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;44123;J P;93;162;;1;EM JOAO HILDO DE CARVALHO FURTADO;RUA MIGUEL ARAGÃO, S/N ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;44123;J P;93;233;;1;EEEP PROFESSOR OTAVIO TERCEIRO DE FARIAS;AVENIDA C, 435;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;44123;J P;93;242;;1;EM ROGACIANO LEITE;RUA 45, S/N - III ETAPA;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;44123;J P;93;248;;1;EM GEISA FIRMO GONÇALVES;RUA ZULEICA PONTES, 1260;PLANALTO AYRTON SENNA;
2024;1;FORTALEZA;44123;J P;93;281;;1;EM PROFESSORA IRENE DE SOUZA PEREIRA;RUA PARQUE UMARI, 100;PLANALTO AYRTON SENNA;
2024;1;FORTALEZA;44123;J P;93;308;;1;CUCA JOSÉ WALTER;RUA 69, S/N;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;44123;J P;94;36;;1;EMTI JOSÉ CARLOS DE OLIVEIRA NETO;R. SAO VICENTE DE PAULO, 170;ANTÔNIO BEZERRA;
2024;1;FORTALEZA;44123;J P;94;199;;1;EEFM DONA HILZA DIOGO DE OLIVEIRA;AV. DOM ALOÍSIO LORSCHEIDER, 1040 - VILA VELHA;VILA VELHA;
