Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;40007;JULIO MESQUITA;1;516;;1;ESCOLA ESTADUAL MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;
2024;1;FORTALEZA;40007;JULIO MESQUITA;3;216;278;1;FAC. CATÓLICA DE FORTALEZA (SEMINÁRIO DA PRAINHA);RUA TENENTE BENÉVOLO, 201;CENTRO;
2024;1;FORTALEZA;40007;JULIO MESQUITA;3;507;;1;COLÉGIO ANTARES (PRAIA DE IRACEMA);RUA HISTORIADOR GUARINO ALVES, 95;PRAIA DE IRACEMA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;82;349;;1;ESCOLA MUNICIPAL GUSTAVO BARROSO - EI/EF;RUA ERETIDES MARTINS, 26;SÃO GERARDO;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;34;;1;EEMTI ESTADO DO AMAZONAS;RUA MONSENHOR FURTADO 2327;BELA VISTA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;241;;1;EEMTI ESTADO DO AMAZONAS;RUA MONSENHOR FURTADO 2327;BELA VISTA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;242;;1;EEFM ANISIO TEIXEIRA;RUA RIO GRANDE DO SUL 680;PANAMERICANO;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;416;;1;EEMTI ESTADO DO AMAZONAS;RUA MONSENHOR FURTADO 2327;BELA VISTA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;585;;1;COLÉGIO LUCÊ;RUA CUIABA 155;JÓQUEI CLUBE;
2024;1;FORTALEZA;40007;JULIO MESQUITA;83;688;;1;EEMTI ESTADO DO AMAZONAS;RUA MONSENHOR FURTADO 2327;BELA VISTA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;85;243;;1;EEM PROF JOSE MARIA CAMPOS DE OLIVEIRA - UV 8;RUA 820 S/N - 3 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;40007;JULIO MESQUITA;85;381;;1;EEM PROF JOSE MARIA CAMPOS DE OLIVEIRA - UV 8;RUA 820 S/N - 3 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;40007;JULIO MESQUITA;93;74;;1;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;40007;JULIO MESQUITA;112;435;;1;COLEGIO ARI DE SA CAVALCANTE WS;AV WASHINGTON SOARES, 3737;EDSON QUEIROZ;
2024;1;FORTALEZA;40007;JULIO MESQUITA;113;24;;1;IFCE - INST FEDERAL DE CIÊNCIA E TECNOLOGIA (CEFET);AV. 13 DE MAIO, 2081;BENFICA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;113;314;;1;IFCE - INST FEDERAL DE CIÊNCIA E TECNOLOGIA (CEFET);AV. 13 DE MAIO, 2081;BENFICA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;114;316;;1;EM DOIS DE DEZEMBRO;RUA ARAKEN, 860;BARRA DO CEARÁ;
2024;1;FORTALEZA;40007;JULIO MESQUITA;115;342;357, 360, 358;1;EEEP JOAQUIM MOREIRA DE SOUSA;RUA CAIO PRADO 02;PARANGABA;
2024;1;FORTALEZA;40007;JULIO MESQUITA;115;401;;1;EEFM PROFESSOR MARIO SCHENBERG;RUA AMERICO ROCHA LIMA 835;MANOEL SÁTIRO;
2024;1;FORTALEZA;40007;JULIO MESQUITA;115;467;;1;EEFM PROF. HERMENEGILDO FIRMEZA;RUA GABRIEL FIUZA 360;VILA PERI;
2024;1;FORTALEZA;40007;JULIO MESQUITA;115;469;;1;EEFM PROF. HERMENEGILDO FIRMEZA;RUA GABRIEL FIUZA 360;VILA PERI;
2024;1;FORTALEZA;40007;JULIO MESQUITA;116;57;;1;EM SANTOS DUMONT;RUA GERALDO BARBOSA 240;BOM JARDIM;
2024;1;FORTALEZA;40007;JULIO MESQUITA;116;159;;1;EM SEBASTIAO DE ABREU;RUA GERALDO BARBOSA 1065;BOM JARDIM;
2024;1;FORTALEZA;40007;JULIO MESQUITA;116;415;;1;EM MARIA DO SOCORRO ALVES CARNEIRO;RUA LUIS VIEIRA 1020;BONSUCESSO;
