Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;12849;LARISSA FREITAS;1;464;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;1;796;;1;ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES;RUA PINTOR ANTONIO BANDEIRA, S/N;VICENTE PINZON;
2024;1;FORTALEZA;12849;LARISSA FREITAS;1;895;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;5;28;1;SENAI - UNIDADE JACARECANGA;AV. PADRE IBIAPINA, 1280;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;6;29, 202;1;SENAI - UNIDADE JACARECANGA;AV. PADRE IBIAPINA, 1280;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;120;;1;COLÉGIO MILITAR DO CORPO DE BOMBEIROS;RUA ADRIANO MARTINS, 436;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;123;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;124;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;127;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;133;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;151;;1;IEP - INST. DE EDUCAÇÃO PORTAL - UNIDADE FORTALEZA;AV. PADRE IBIAPINA, 1243;CENTRO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;183;;1;IEP - INST. DE EDUCAÇÃO PORTAL - UNIDADE FORTALEZA;AV. PADRE IBIAPINA, 1243;CENTRO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;259;260;1;COLÉGIO ESTADUAL JUSTINIANO DE SERPA;AV. SANTOS DUMONT, 56;CENTRO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;553;;1;COLÉGIO MILITAR DO CORPO DE BOMBEIROS;RUA ADRIANO MARTINS, 436;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;554;;1;COLÉGIO MILITAR DO CORPO DE BOMBEIROS;RUA ADRIANO MARTINS, 436;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;558;;1;IEP - INST. DE EDUCAÇÃO PORTAL - UNIDADE FORTALEZA;AV. PADRE IBIAPINA, 1243;CENTRO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;559;;2;IEP - INST. DE EDUCAÇÃO PORTAL - UNIDADE FORTALEZA;AV. PADRE IBIAPINA, 1243;CENTRO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;3;631;;1;COLÉGIO BATISTA - SANTOS DUMONT;RUA DESEMBARGADOR LEITE ALBUQUERQUE, 1056;ALDEOTA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;80;238;;1;EEFM NOEL HUGNEN OLIVEIRA PAIVA;RUA MONSENHOR SALAZAR 279;TAUAPE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;90;;1;ESCOLA MUNICIPAL TERTULIANO CAMBRAIA - EI/EF;RUA MONSENHOR ROSA, 946;CARLITO PAMPLONA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;106;;1;CENTRO DE CIDADANIA GOV. VIRGÍLIO TÁVORA - CCDH;AV. MONSENHOR HELIO CAMPOS, 178;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;120;;1;EEFM LIONS JANGADA - EEMTI;RUA CAMÉLIA, 352;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;123;;1;EEFM SALES CAMPOS;RUA JACINTO MATOS, 730;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;124;;1;EEFM SALES CAMPOS;RUA JACINTO MATOS, 730;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;133;;1;FEDERAÇÃO DO MOVIMENTO COMUNITÁRIO DO PIRAMBU - FEMOCOPI;AV. PRES. CASTELO BRANCO, 2709;CARLITO PAMPLONA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;180;;1;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;181;;2;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;183;;1;ESCOLA MUNICIPAL GUSTAVO BARROSO - EI/EF;RUA ERETIDES MARTINS, 26;SÃO GERARDO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;185;;1;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;188;;1;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;189;;1;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;199;;1;ESCOLA MUNICIPAL FAUSTINO DE ALBUQUERQUE - EI/EF;RUA AMARO CAVALCANTE, 221;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;201;;1;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;203;;2;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;210;;1;COLÉGIO PROF. F. EURÍDICE;RUA NATURALISTA FEIJÓ, 736;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;212;;1;INSTITUTO MATER AMABILIS;RUA PADRE ANCHIETA, 438;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;213;;3;INSTITUTO MATER AMABILIS;RUA PADRE ANCHIETA, 438;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;214;;1;INSTITUTO MATER AMABILIS;RUA PADRE ANCHIETA, 438;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;223;;1;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;231;;1;COLÉGIO UNIVERSO MENINO JESUS;RUA DOM QUINTINO, 934;JACARECANGA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;252;;1;CENTRO EDUCACIONAL DOM HÉLIO CAMPOS;RUA SÃO RAIMUNDO, 199;PIRAMBU;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;371;;1;EMEIEF HONÓRIO BEZERRA;RUA CAPITÃO NESTOR GÓIS, 400;ELLERY;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;375;;1;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR - EI/EF;RUA BERNARDO PORTO, 490;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;404;;1;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;414;;1;EMEIEF HONÓRIO BEZERRA;RUA CAPITÃO NESTOR GÓIS, 400;ELLERY;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;425;;1;ESCOLA MUNICIPAL SANTA TEREZA - EI/EF;RUA MONSENHOR HÉLIO CAMPOS, 90;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;427;;1;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;433;;1;EMEIEF VIRGÍLIO TÁVORA;AV. MONSENHOR HÉLIO CAMPOS, 144;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;485;;3;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;547;;1;EMEIEF HONÓRIO BEZERRA;RUA CAPITÃO NESTOR GÓIS, 400;ELLERY;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;551;;1;EEFM LIONS JANGADA - EEMTI;RUA CAMÉLIA, 352;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;579;;1;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;611;;1;INSTITUTO MATER AMABILIS;RUA PADRE ANCHIETA, 438;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;625;;2;EEFM CLÁUDIO MARTINS;RUA DEMÓCRITO ROCHA, 400;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;651;;1;CENTRO EDUCACIONAL SÃO MATEUS;AV. SARGENTO HERMÍNIO SAMPAIO, 2440;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;662;;1;EMEIEF VIRGÍLIO TÁVORA;AV. MONSENHOR HÉLIO CAMPOS, 144;CRISTO REDENTOR;
2024;1;FORTALEZA;12849;LARISSA FREITAS;82;695;;1;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;65;;1;EEFM JOAQUIM ALVES;RUA ESTADO DO RIO 955;DEMOCRITO ROCHA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;164;;2;EEFM HERACLITO DE CASTRO E SILVA;RUA SILVEIRA FILHO, 808;JÓQUEI CLUBE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;165;;1;EEFM HERACLITO DE CASTRO E SILVA;RUA SILVEIRA FILHO, 808;JÓQUEI CLUBE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;167;;1;EEFM HERACLITO DE CASTRO E SILVA;RUA SILVEIRA FILHO, 808;JÓQUEI CLUBE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;171;;1;EEFM HERACLITO DE CASTRO E SILVA;RUA SILVEIRA FILHO, 808;JÓQUEI CLUBE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;436;;1;EEMTI SENADOR FERNANDES TÁVORA;RUA GOIÁS 141;BELA VISTA;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;493;;1;COLÉGIO LUCÊ;RUA CUIABA 155;JÓQUEI CLUBE;
2024;1;FORTALEZA;12849;LARISSA FREITAS;83;540;;1;ESCOLA MUNICIPAL JOSÉ BATISTA DE OLIVEIRA;RUA GOIÁS 620;PANAMERICANO;
