Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;86;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;142;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;690;;1;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;726;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;924;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;929;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;20499;LUANA CARVALHO;1;937;;1;CLUBE SEFAZ - UNIÃO DOS FUNC. FAZENDÁRIOS DO EST. DO CE - UFFEC;RUA FREI MANSUETO,106;MEIRELES;
2024;1;FORTALEZA;20499;LUANA CARVALHO;2;652;;1;PATRONATO PADRE LUIZ BARBOSA MOREIRA;RUA CEL GUILHERME ALENCAR, 121;MESSEJANA;
2024;1;FORTALEZA;20499;LUANA CARVALHO;2;741;;1;COLÉGIO CHRISTUS SUL;AV. ENG. LEAL LIMA VERDE, 2265;JOSÉ DE ALENCAR;
2024;1;FORTALEZA;20499;LUANA CARVALHO;2;750;;1;EMEIF GUIOMAR DA SILVA ALMEIDA;RUA PEROLINA DE MORAIS, 449;PAUPINA;
2024;1;FORTALEZA;20499;LUANA CARVALHO;2;802;;1;PATRONATO PADRE LUIZ BARBOSA MOREIRA;RUA CEL GUILHERME ALENCAR, 121;MESSEJANA;
