Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;1;730;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;2;149;;1;EMEIF ANGELICA GURGEL;RUA DOUTOR PERGENTINO MAIA, 375;MESSEJANA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;3;131;;1;COLÉGIO ESTADUAL LICEU DO CEARÁ;PRAÇA GUSTAVO BARROSO, 01;JACARECANGA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;3;400;;1;COLÉGIO CHRISTUS (AV. BARÃO DE STUDART);RUA JOÃO CARVALHO, 630;ALDEOTA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;80;283;;2;EEF GAL.  MANUEL CORDEIRO NETO;RUA JORGE ACURCIO, 900;VILA UNIÃO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;82;69;;1;COLÉGIO MANUEL DA SILVA - CARLITO PAMPLONA;AV. FRANCISCO SÁ, 4001;CARLITO PAMPLONA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;82;690;;1;EEFM JOSÉ VALDO RIBEIRO RAMOS - EEMTI;RUA PEDRO AMÉRICO, 100;CARLITO PAMPLONA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;82;695;;2;ESCOLA MUNICIPAL LENIRA JUREMA DE MAGALHÃES - EI/EF;RUA TEÓFILO GURGEL, 111;MONTE CASTELO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;44;;1;COLÉGIO ELITE;AVENIDA JOÃO PESSOA, 6302;MONTESE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;55;;1;ESCOLA MUNICIPAL PAULO SARASATE;RUA PEDRO MUNIZ 250;DEMOCRITO ROCHA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;63;;1;EEMTI SENADOR FERNANDES TÁVORA;RUA GOIÁS 141;BELA VISTA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;68;;1;EEFM JOAQUIM ALVES;RUA ESTADO DO RIO 955;DEMOCRITO ROCHA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;87;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;88;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;91;;1;EEM  MARIANO MARTINS;AVENIDA SENADOR FERNANDES TÁVORA 1445;HENRIQUE JORGE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;131;;1;ESCOLA MUNICIPAL PRESIDENTE KENNEDY;AV. LINEU MACHADO 811;JÓQUEI CLUBE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;173;;1;ESCOLA PEQUENO PRINCIPE;RUA SILVEIRA FILHO, 825;JÓQUEI CLUBE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;231;;1;ESCOLA MUNICIPAL JOSÉ BATISTA DE OLIVEIRA;RUA GOIÁS 620;PANAMERICANO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;234;;1;ESCOLA MUNICIPAL JOSÉ BATISTA DE OLIVEIRA;RUA GOIÁS 620;PANAMERICANO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;288;;2;COLÉGIO ELITE;AVENIDA JOÃO PESSOA, 6302;MONTESE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;462;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;507;;1;CENTRO EDUCACIONAL SÃO SEBASTIÃO;RUA GUANABARA 1003;DEMOCRITO ROCHA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;548;;1;ESCOLA MUNICIPAL JOSÉ BONIFÁCIO DE SOUSA;RUA PERNAMBUCO 600;DEMOCRITO ROCHA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;585;;1;COLÉGIO LUCÊ;RUA CUIABA 155;JÓQUEI CLUBE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;588;;1;ESCOLA MUNICIPAL SANTA MARIA;RUA CUIABÁ 1465;HENRIQUE JORGE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;682;;1;ESCOLA MUNICIPAL DONA DAGMAR GENTIL;RUA VITORIA 1750;HENRIQUE JORGE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;735;;1;COLEGIO CHRISTUS;AV. ENG. HUMBERTO MONTE, 1355;BELA VISTA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;757;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;776;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;83;791;;1;CENTRO DE FORMAÇÃO E DESENV. PARA PROFISSIONAIS DA EDUCAÇÃO - FORMACE;RUA PORTO VELHO, 401;JOÃO XXIII;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;85;117;;1;CCDH - CENTRO DE CIDADANIA E DIREITOS HUMANOS (ANTIGO LUCIO ALCANTARA);AV. ALANIS MARIA LAURINDO DE OLIVEIRA, 461, 1A ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;85;149;;1;EEF GOVERNADOR FAUSTINO ALBUQUERQUE - UV1;RUA 143 N 155 - 1 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;85;154;;1;EEF GOVERNADOR FAUSTINO ALBUQUERQUE - UV1;RUA 143 N 155 - 1 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;85;157;;2;EEF GOVERNADOR FAUSTINO ALBUQUERQUE - UV1;RUA 143 N 155 - 1 ETAPA;CONJUNTO CEARÁ I;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;72;;1;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;76;;1;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;100;;1;CENTRO EDUCACIONAL BRAGA GUERRA;RUA D, N 414;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;129;;1;COLEGIO 21 EDUCAR;AV JOAO DE ARAUJO LIMA, 1240 - II ETAPA;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;146;;1;EEEP PROFESSOR ONELIO PORTO;AVENIDA E, 471 - II ETAPA;PREFEITO JOSÉ WALTER;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;165;;1;EM JOAO HILDO DE CARVALHO FURTADO;RUA MIGUEL ARAGÃO, S/N ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;172;;1;EEFM ESTADO DO MARANHAO;RUA CARLOS PIMENTA,506;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;176;;1;EEFM ESTADO DO MARANHAO;RUA CARLOS PIMENTA,506;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;207;;1;LICEU ESTADUAL DOMINGOS BRASILEIRO;RUA PLANALTINA, S/N;PLANALTO AYRTON SENNA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;270;;2;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;271;;1;LICEU ESTADUAL DOMINGOS BRASILEIRO;RUA PLANALTINA, S/N;PLANALTO AYRTON SENNA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;93;283;;1;EM JONATHAN DA ROCHA ALCOFORADO;RUA MARIA GOMES DE SÁ,1030 ARACAPÉ;MONDUBIM;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;94;631;;1;EEFM DOM HELDER CAMARA;RUA ROSINHA SAMPAIO 1157;VILA VELHA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;94;939;;1;COLÉGIO UNIVERSO;RUA JOAQUIM ALBANO, N 100;PADRE ANDRADE;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;98;;1;EEFM DOUTORA ALDACI BARBOSA;RUA VALPARAISO, 155;CONJUNTO PALMEIRAS;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;155;;1;EM PROFESSORA MARIA ANTONÉZIA MEIRELES E SÁ;RUA CORONEL VIRGÍLIO TÁVORA, 1340;BARROSO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;206;;1;EEEP MÁRIO ALENCAR;RUA VERDE 44, 97 (CJ. SÍTIO SÃO JOÃO);JANGURUSSU;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;240;;1;EMEIEF TAÍS MARIA BEZERRA NOGUEIRA;AV. GOVERNADOR LEONEL BRIZOLA, 710;JANGURUSSU;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;242;;1;EMEIEF TAÍS MARIA BEZERRA NOGUEIRA;AV. GOVERNADOR LEONEL BRIZOLA, 710;JANGURUSSU;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;284;;1;EM PROFESSORA MARIA ANTONÉZIA MEIRELES E SÁ;RUA CORONEL VIRGÍLIO TÁVORA, 1340;BARROSO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;95;357;;1;CEI PROFESSOR JOSE TEODORO SOARES;RUA COLETORA CENTRAL II, S/N;ANCURI;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;112;376;;1;FUNCAP;AV. OLIVEIRA PAIVA, 941;CIDADE DOS FUNCIONÁRIOS;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;112;463;;1;UNIVERSIDADE DE FORTALEZA - UNIFOR;AVENIDA WASHINGTON SOARES, 1321;EDSON QUEIROZ;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;112;532;582;1;COLÉGIO NOVA DIMENSÃO;AV. EDILSON BRASIL SOARES, 1599;EDSON QUEIROZ;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;26;;1;IFCE - INST FEDERAL DE CIÊNCIA E TECNOLOGIA (CEFET);AV. 13 DE MAIO, 2081;BENFICA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;28;;1;IFCE - INST FEDERAL DE CIÊNCIA E TECNOLOGIA (CEFET);AV. 13 DE MAIO, 2081;BENFICA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;29;;1;IFCE - INST FEDERAL DE CIÊNCIA E TECNOLOGIA (CEFET);AV. 13 DE MAIO, 2081;BENFICA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;72;;1;COLÉGIO JUVENAL DE CARVALHO;AV. JOÃO PESSOA, 4279;DAMAS;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;129;;1;EEFM FIGUEIREDO CORREIA;RUA MARECHAL DEODORO, 733;BENFICA;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;136;;2;EMEIF DOM MANUEL DA SILVA GOMES;RUA SAMUEL UCHÔA, 550;BOM FUTURO;
2024;1;FORTALEZA;45822;PROF. MARCOS VINICIUS;113;241;;1;EEFM FÉLIX DE AZEVEDO;RUA MONSENHOR FURTADO, 757;RODOLFO TEÓFILO;
