Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;37;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;141;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;496;;1;ESCOLA ESTADUAL MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;567;;2;ESCOLA MUNICIPAL COLONIA Z-8;RUA MANOEL JESUINO,370;VARJOTA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;853;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;874;;2;ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES;RUA PINTOR ANTONIO BANDEIRA, S/N;VICENTE PINZON;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;895;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;904;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;1;926;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;96;;1;EM PROFª FERNANDA MARIA DE ALENCAR COLARES;AV PROF. ARTHUR DE CARVALHO, 1540;LAGOA REDONDA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;425;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;433;;1;EEEP JOSE DE BARCELOS;RUA ANGELICA GURGEL 362;MESSEJANA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;451;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;463;;1;EEEP JOSE DE BARCELOS;RUA ANGELICA GURGEL 362;MESSEJANA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;492;;2;SECRETARIA DA EDUCACAO - CAMBEBA;AVENIDA MINISTRO JOSE AMERICO, SN;CAMBEBA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;751;;1;SECRETARIA DA EDUCACAO - CAMBEBA;AVENIDA MINISTRO JOSE AMERICO, SN;CAMBEBA;
2024;1;FORTALEZA;44432;PROFESSORA MICHELE RONDON;2;782;;1;EM PROF CLODOMIR TEOFILO GIRAO;TRAVESSA RUTILO, 108;MESSEJANA;
