Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;33;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;38;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;39;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;40;;1;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;50;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;136;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;137;;5;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;138;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;140;;2;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;141;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;142;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;143;;3;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;144;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;145;;3;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;146;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;336;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;344;;1;ESCOLA ESTADUAL MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;351;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;352;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;355;;2;ESCOLA ESTADUAL DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;386;;1;ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES;RUA OLIVEIRA FILHO, 1576;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;390;;1;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;RUA JULIO SILVA, 450;PRAIA DO FUTURO II;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;391;;1;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;463;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;465;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;467;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;470;;2;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;471;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;474;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;477;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;479;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;480;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;482;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;485;;1;COLEGIO ANTARES - OCELO PINHEIRO;RUA PROFESSOR OCELO PINHEIRO 101;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;488;;1;ESCOLA DE GASTRONOMIA SOCIAL IVENS DIAS BRANCO;RUA MANUEL DIAS BRANCO,80;CAIS DO PORTO;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;496;;1;ESCOLA ESTADUAL MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;498;;2;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;513;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;552;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;577;;2;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;581;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;593;;1;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;AVENIDA DIOGUINHO 5927;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;604;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;607;;2;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;632;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;641;;3;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;642;;3;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;654;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;665;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;668;;1;ESCOLA ESTADUAL MURILO BORGES;RUA DO ENTARDECER 90;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;670;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;671;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;694;;1;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;AVENIDA DIOGUINHO 5927;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;717;;1;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;724;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;726;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;727;;1;ESCOLA MUNICIPAL PROF. GODOFREDO DE CASTRO FILHO;AVENIDA JOSÉ SABÓIA  905;CAIS DO PORTO;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;730;;2;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;770;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;792;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;797;;1;CRECHE RACHEL GUIMARÃES MARTINS BARBOSA;VIA DE PEDRESTE LESTE OESTE 01;CAIS DO PORTO;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;799;;2;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;801;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;818;;1;COLEGIO ANTARES - OCELO PINHEIRO;RUA PROFESSOR OCELO PINHEIRO 101;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;819;;3;ESCOLA MUNICIPAL ODNILRA CRUZ MOREIRA;AVENIDA DAS ADENANTERAS 800;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;820;;1;ESCOLA PROFISSIONAL MARIA ANGELA DA SILVEIRA BORGES;RUA PINTOR ANTONIO BANDEIRA, S/N;VICENTE PINZON;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;825;;1;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;830;;2;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;845;;1;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;850;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;851;;1;ESCOLA ESTADUAL DRAGAO DO MAR;RUA UMARI S/N;MUCURIPE;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;852;;2;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;853;;1;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;861;;1;ESCOLA MUNICIPAL ODNILRA CRUZ MOREIRA;AVENIDA DAS ADENANTERAS 800;CIDADE 2000;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;862;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;869;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;40456;ROMULO MAGALHÃES;1;876;;1;COLEGIO ANTARES - OCELO PINHEIRO;RUA PROFESSOR OCELO PINHEIRO 101;PAPICU;
