Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;55125;RUBEM NETO;1;38;;1;UNINTA - FACULDADE UNINTA FORTALEZA;RUA VILEBALDO AGUIAR,133;COCÓ;
2024;1;FORTALEZA;55125;RUBEM NETO;1;349;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;55125;RUBEM NETO;1;352;;2;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;55125;RUBEM NETO;1;357;;1;IATE CLUBE;AVENIDA DA ABOLIÇÃO 4813;MUCURIPE;
2024;1;FORTALEZA;55125;RUBEM NETO;1;386;;1;ESCOLA ESTADUAL DEPUTADO MANOEL RODRIGUES;RUA OLIVEIRA FILHO, 1576;VICENTE PINZON;
2024;1;FORTALEZA;55125;RUBEM NETO;1;393;;1;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;
2024;1;FORTALEZA;55125;RUBEM NETO;1;473;;2;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;55125;RUBEM NETO;1;478;;1;ESCOLA MIGUEL FIALHO - ANTIGO PADRE JOSÉ NILSON ;RUA CORONEL MANUEL JESUÍNO 225;MUCURIPE;
2024;1;FORTALEZA;55125;RUBEM NETO;1;498;;1;ESCOLA ESTADUAL  BARBARA DE ALENCAR;RUA PEDRO RUFINO 38;VARJOTA;
2024;1;FORTALEZA;55125;RUBEM NETO;1;639;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;55125;RUBEM NETO;1;681;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;55125;RUBEM NETO;1;726;;2;COLEGIO ESPACO ABERTO - BENTO ALBUQUERQUE;RUA BENTO ALBUQUERQUE 1671;PAPICU;
2024;1;FORTALEZA;55125;RUBEM NETO;1;863;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;55125;RUBEM NETO;1;875;;1;COLEGIO ARI DE SA - MONSENHOR CATAO;RUA MONSENHOR CATAO, 1655;ALDEOTA;
2024;1;FORTALEZA;55125;RUBEM NETO;1;877;;1;ESCOLA MUNICIPAL ODNILRA CRUZ MOREIRA;AVENIDA DAS ADENANTERAS 800;CIDADE 2000;
2024;1;FORTALEZA;55125;RUBEM NETO;1;879;;1;COLEGIO ANTARES - SANTOS DUMONT;AVENIDA SANTOS DUMONT 3777;ALDEOTA;
2024;1;FORTALEZA;55125;RUBEM NETO;1;903;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;55125;RUBEM NETO;1;916;;1;FACULDADE FARIAS BRITO - CASTRO MONTE;RUA CASTRO MONTE 1364;VARJOTA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;83;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;84;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;85;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;88;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;92;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;94;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;98;;1;EM PROFª FERNANDA MARIA DE ALENCAR COLARES;AV PROF. ARTHUR DE CARVALHO, 1540;LAGOA REDONDA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;129;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;132;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;151;;1;EMEIF ANGELICA GURGEL;RUA DOUTOR PERGENTINO MAIA, 375;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;160;;2;INSTITUTO FREI JOAO PEDRO DE SEXTO;AVENIDA FREI CIRILO, 4241;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;166;;1;PATRONATO PADRE LUIZ BARBOSA MOREIRA;RUA CEL GUILHERME ALENCAR, 121;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;168;;1;PATRONATO PADRE LUIZ BARBOSA MOREIRA;RUA CEL GUILHERME ALENCAR, 121;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;176;;1;COLÉGIO SERAFICO NOSSA SENHORA DO BRASIL;AVENIDA FREI CIRILO 4454;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;178;;1;COLÉGIO SERAFICO NOSSA SENHORA DO BRASIL;AVENIDA FREI CIRILO 4454;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;183;;4;SECRETARIA DA EDUCACAO - CAMBEBA;AVENIDA MINISTRO JOSE AMERICO, SN;CAMBEBA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;184;;4;SECRETARIA DA EDUCACAO - CAMBEBA;AVENIDA MINISTRO JOSE AMERICO, SN;CAMBEBA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;366;;1;EM PROFª FERNANDA MARIA DE ALENCAR COLARES;AV PROF. ARTHUR DE CARVALHO, 1540;LAGOA REDONDA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;390;;1;EEEP JOSE DE BARCELOS;RUA ANGELICA GURGEL 362;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;391;;1;EEFM IRACEMA;RUA EGIDIO DE OLIVEIRA, 250;JOSÉ DE ALENCAR;
2024;1;FORTALEZA;55125;RUBEM NETO;2;393;;1;EEFM GOV LUIZ DE GONZAGA FONSECA MOTA;RUA SANTA ROSA, 407;COAÇU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;396;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;417;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;418;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;429;;1;EEM LICEU DE MESSEJANA;AVENIDA WASHINGTON SOARES 7702;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;447;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;55125;RUBEM NETO;2;451;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;462;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;55125;RUBEM NETO;2;483;;1;EMEIF ANGELICA GURGEL;RUA DOUTOR PERGENTINO MAIA, 375;MESSEJANA;
