Ano;Turno;Município;Número;Candidato;Zona;Seção;Seções Agregadas;Votos;Local de Votação;Endereço Local de Votação;Bairro;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;353;;1;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;AVENIDA DA ABOLIÇÃO 3984;MUCURIPE;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;391;;1;CIES AIDA SANTOS;AVENIDA TRAJANO DE MEDEIROS  813;VICENTE PINZON;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;459;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;469;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;471;;1;ESCOLA ESTADUAL MARIA JOSE MEDEIROS;RUA DESEMBARGADOR LAURO NOGUEIRA 1240;PAPICU;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;481;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;592;;1;ESCOLA ESTADUAL MATIAS BECK;RUA  PROFESSORA AIDA BALAIO 38;MUCURIPE;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;665;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;830;;1;ESCOLA ESTADUAL ARQUITETO ROGERIO FROES;AVENIDA DAS GRAVIOLAS 1000;CIDADE 2000;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;833;;1;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;RUA JULIO SILVA, 450;PRAIA DO FUTURO II;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;881;;1;FANOR - FACULDADE NORDESTE;AVENIDA SANTOS DUMONT 7800;DE LOURDES;
2024;1;FORTALEZA;11011;SILVIA HELENA;1;930;;1;COLEGIO FARIAS BRITO - PRÉ UNIVERSITARIO - JULIO ABREU;AVENIDA JULIO ABREU, 284;VARJOTA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;81;;1;EEEP COMENDADOR MIGUEL GURGEL;RUA JOSE BAIMA, S/N;GUAJERU;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;91;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;107;;1;EMEIF DEMOCRITO ROCHA;RUA PADRE PEDRO DE ALENCAR, 2012;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;108;;1;EMEIF DEMOCRITO ROCHA;RUA PADRE PEDRO DE ALENCAR, 2012;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;123;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;145;;1;EM JOSEFA BARROS DE ALENCAR;RUA DOUTOR JOAQUIM BENTO 590;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;163;;1;INSTITUTO FREI JOAO PEDRO DE SEXTO;AVENIDA FREI CIRILO, 4241;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;177;;1;COLÉGIO SERAFICO NOSSA SENHORA DO BRASIL;AVENIDA FREI CIRILO 4454;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;400;;1;CLUBE DA CAIXA;AVENIDA FREI CIRILO 4700;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;523;;1;EEFM GOV LUIZ DE GONZAGA FONSECA MOTA;RUA SANTA ROSA, 407;COAÇU;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;538;;1;EEM DEPUTADO PAULO BENEVIDES;RUA ANGELICA GURGEL, 186;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;705;;1;EMEIF MOREIRA DA ROCHA;AV ODILON GUIMARAES, 3860;LAGOA REDONDA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;772;;1;EEFM JOSE DE ALENCAR;RUA VENEZA, 84;MESSEJANA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;773;;1;CMES ANISIO TEIXEIRA;TRAVESSA DO GUARANI, 355;PAUPINA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;793;;1;EMEIF GUIOMAR DA SILVA ALMEIDA;RUA PEROLINA DE MORAIS, 449;PAUPINA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;809;;1;SECRETARIA DA EDUCACAO - CAMBEBA;AVENIDA MINISTRO JOSE AMERICO, SN;CAMBEBA;
2024;1;FORTALEZA;11011;SILVIA HELENA;2;813;;1;ESCOLA MUNICIPAL ISABEL FERREIRA;RUA ISABEL FERREIRA, 1000 - CONJ. CURIÓ;LAGOA REDONDA;
